folder,file_count,purpose,designed_for,install_guide,install_script,ai_entrypoint,notes,lines,code,comments,blanks,complexity,bytes,files
.,20,"Repository root files and project-level entrypoints.","Humans, CI, package managers, and AI agents.",docs/ai/external-repo-install.md,none,README.md,"Contains root configuration, README, justfile, and project-level metadata.",677,536,4,137,0,30895,".editorconfig,.eslintrc.json,.gitignore,.lefthook.yml,.markdownlint-cli2.yaml,.prettierrc.json,.repomixignore,.shellcheckrc,.stylelintrc.json,AGENTS.md,CLAUDE.md,CONTRIBUTING.md,README.md,SECURITY.md,SUPPORT.md,composer.json,composer.lock,justfile,llms.txt,phpunit.xml.dist"
.copilot-logs,1,"Stores local Copilot log handling notes and examples.","Maintainers documenting local logging expectations.",docs/ai/copilot-tooling.md,none,docs/ai/failure-handling.md,"Reference-only docs surface for local logs.",22,14,0,8,0,812,.copilot-logs/README.md
.github,18,"GitHub Copilot adapter surfaces including instructions, agents, prompts, hooks, and workflows.","GitHub Copilot users and CI automation.",docs/ai/external-repo-install.md,tools/ai/install-copilot-kit.sh,.github/copilot-instructions.md,"Adapter layer; canonical workflow logic remains under docs/ai capabilities.",647,519,0,128,19,26926,".github/agents/config-maintainer.agent.md,.github/agents/workflow-auditor.agent.md,.github/copilot-instructions.md,.github/hooks/scripts/tool-guardian.ps1,.github/hooks/tool-guardian.json,.github/hooks/tool-policy.json,.github/instructions/ai-workflow.instructions.md,.github/instructions/ci.instructions.md,.github/instructions/config.instructions.md,.github/instructions/docs.instructions.md,.github/instructions/frontend.instructions.md,.github/instructions/php.instructions.md,.github/prompts/investigate-bug.prompt.md,.github/prompts/trace-regression.prompt.md,.github/pull_request_template.md,.github/skills/repo-investigation/SKILL.md,.github/workflows/export-ai-universal-rules-preview.yml,.github/workflows/validate-ai-surface.yml"
.husky,2,"Git hook entrypoints for local validation before commit.","Developers using local Git hook automation.",docs/software-and-cli-tools.md,none,docs/ai/validation.md,"Thin wrappers that invoke scripts/hooks for policy checks.",4,2,2,0,0,111,".husky/commit-msg,.husky/pre-commit"
.schemas,3,"JSON schemas used by validators for catalog and manifest contracts.","Validation tooling and maintainers updating AI metadata formats.",docs/ai/validation.md,none,tools/ai/validate-ai-catalog.php,"Schema source of truth for generated AI package artifacts.",388,388,0,0,0,8255,".schemas/ai-catalog.schema.json,.schemas/ai-universal-rules-manifest.schema.json,.schemas/evidence-event.schema.json"
configs,19,"Optional local developer environment profiles for shell, editor, terminal, and tool setup.","Developers applying local configuration templates.",docs/software-and-cli-tools.md,none,configs/vscode/user/settings.json,"Configuration profiles are optional and may include machine-local assumptions.",5841,5637,58,146,61,243265,"configs/README.md,configs/ghostty/config,configs/ghostty/config-ghostyy,configs/karabiner/karabiner.json,configs/nvim/init.lua,configs/nvim/lua/plugins/copilot.lua,configs/nvim/lua/plugins/neotest.lua,configs/nvim/lua/plugins/vim-tmux-navigator.lua,configs/php/php.ini,configs/php/pint.json,configs/shell/.gitconfig,configs/shell/.zshrc,configs/shell/starship.toml,configs/vscode/keybindings.json,configs/vscode/launch.json,configs/vscode/user/settings.json,configs/vscode/user/settings.minimal.json,configs/vscode/workspace-example.json,configs/vscode/workspace-template.json"
docs,48,"Repository documentation for setup, AI workflow, and operating guidance.","Humans and AI agents reading durable project instructions.",docs/ai/external-repo-install.md,tools/ai/install-copilot-kit.sh,docs/ai/project-context.md,"Canonical guidance surface for repo-specific behavior and procedures.",3358,2595,0,763,0,174665,"docs/ai/AI-GUARDRAILS.md,docs/ai/agent-ops-checklist.md,docs/ai/agent-ops.md,docs/ai/agents.md,docs/ai/capabilities/README.md,docs/ai/capabilities/agent-observability-and-evidence/CAPABILITY.md,docs/ai/capabilities/agent-observability-and-evidence/EVENT_SCHEMA.md,docs/ai/capabilities/agent-observability-and-evidence/FAILURE_TAXONOMY.md,docs/ai/capabilities/authorization-and-tool-governance/CAPABILITY.md,docs/ai/capabilities/bug-regression/CAPABILITY.md,docs/ai/capabilities/config-change-safety/CAPABILITY.md,docs/ai/capabilities/docs-sync/CAPABILITY.md,docs/ai/capabilities/evaluation-and-regression/CAPABILITY.md,docs/ai/capabilities/evaluation-and-regression/GOLDEN_TASKS.md,docs/ai/capabilities/evaluation-and-regression/HUMAN_REVIEW_RULES.md,docs/ai/capabilities/evaluation-and-regression/REPLAY_RULES.md,docs/ai/capabilities/preview-environments/CAPABILITY.md,docs/ai/capabilities/preview-environments/CHECKLIST.md,docs/ai/capabilities/preview-environments/DATA_AND_SECRET_RULES.md,docs/ai/capabilities/preview-environments/LIFECYCLE.md,docs/ai/capabilities/project-context/CAPABILITY.md,docs/ai/capabilities/review-diff/CAPABILITY.md,docs/ai/capabilities/service-boundary-patterns/CAPABILITY.md,docs/ai/capabilities/service-boundary-patterns/DATA_BOUNDARIES.md,docs/ai/capabilities/service-boundary-patterns/INTERNAL_TOOL_SURFACES.md,docs/ai/capabilities/service-boundary-patterns/SERVICE_BOUNDARIES.md,docs/ai/capabilities/verify-change/CAPABILITY.md,docs/ai/catalog.md,docs/ai/command-risk-taxonomy.md,docs/ai/context-packing.md,docs/ai/copilot-getting-started.md,docs/ai/copilot-tooling.md,docs/ai/external-repo-install.md,docs/ai/failure-handling.md,docs/ai/generated/README.md,docs/ai/hooks.md,docs/ai/integration-matrix.md,docs/ai/project-context.md,docs/ai/repo-directory-map.json,docs/ai/repo-documentation-generation.md,docs/ai/source-of-truth.md,docs/ai/validation.md,docs/ai/workflow.md,docs/keyboard.md,docs/nvim-setup.md,docs/shell-setup.md,docs/software-and-cli-tools.md,docs/vscode-extensions.md"
packages,222,"Reusable cross-runtime AI workflow package source and assets.","Teams bootstrapping AI workflows in external repositories.",packages/ai-universal-rules/QUICKSTART.md,tools/ai/install-copilot-kit.sh,packages/ai-universal-rules/README.md,"Portable package benchmark; examples are references, not root repo runtime defaults.",6504,5174,0,1330,0,261060,"packages/ai-universal-rules/PLACEHOLDERS.md,packages/ai-universal-rules/QUICKSTART.md,packages/ai-universal-rules/README.md,packages/ai-universal-rules/catalog.json,packages/ai-universal-rules/docs/BROWSE.md,packages/ai-universal-rules/docs/CAPABILITY-MODEL.md,packages/ai-universal-rules/docs/COMPATIBILITY.md,packages/ai-universal-rules/docs/COMPOSITION-RECIPES.md,packages/ai-universal-rules/docs/CONTROL-MODEL.md,packages/ai-universal-rules/docs/DESIGN-PRINCIPLES.md,packages/ai-universal-rules/docs/EVALUATION.md,packages/ai-universal-rules/docs/INSTALL-GITHUB-COPILOT.md,packages/ai-universal-rules/docs/INSTALL-OPENCODE.md,packages/ai-universal-rules/docs/ONBOARDING.md,packages/ai-universal-rules/docs/PRECEDENCE.md,packages/ai-universal-rules/docs/PROJECT-EXAMPLES.md,packages/ai-universal-rules/docs/RELEASE-BUNDLES.md,packages/ai-universal-rules/docs/foundations/CAPABILITY-MODEL.md,packages/ai-universal-rules/docs/foundations/COMPATIBILITY.md,packages/ai-universal-rules/docs/foundations/CONTROL-MODEL.md,packages/ai-universal-rules/docs/foundations/DESIGN-PRINCIPLES.md,packages/ai-universal-rules/docs/foundations/PRECEDENCE.md,packages/ai-universal-rules/docs/foundations/SKILLS.md,packages/ai-universal-rules/docs/operations/EVAL-SCENARIOS.md,packages/ai-universal-rules/docs/operations/GOVERNANCE.md,packages/ai-universal-rules/docs/operations/HOOKS-AND-ENFORCEMENT.md,packages/ai-universal-rules/docs/operations/MAINTENANCE.md,packages/ai-universal-rules/docs/operations/MCP-BOUNDARIES.md,packages/ai-universal-rules/docs/operations/TROUBLESHOOTING.md,packages/ai-universal-rules/docs/workflows/AGENT-HANDOFFS.md,packages/ai-universal-rules/docs/workflows/MONOREPO-STRATEGY.md,packages/ai-universal-rules/docs/workflows/RISK-AND-APPROVALS.md,packages/ai-universal-rules/docs/workflows/RUNTIME-OBSERVABILITY.md,packages/ai-universal-rules/docs/workflows/SYSTEM-WORKFLOW.md,packages/ai-universal-rules/docs/workflows/TASK-ENTRYPOINTS.md,packages/ai-universal-rules/examples/expanded-placeholder-repo/AGENTS.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/agents/refactorer.agent.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/agents/reviewer.agent.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/copilot-instructions.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/instructions/architecture.instructions.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/instructions/frontend.instructions.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/instructions/targets.instructions.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/instructions/testing.instructions.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/prompts/bug-regression.prompt.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/prompts/new-feature.prompt.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.github/prompts/review-code.prompt.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/agents/architect.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/agents/refactorer.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/agents/reviewer.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/commands/review-diff.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/commands/verify.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/skills/bug-regression/SKILL.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/skills/dependency-upgrade/SKILL.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/skills/project-context/SKILL.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/skills/project-stack/SKILL.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/skills/release-safety/SKILL.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/skills/review-diff/SKILL.md,packages/ai-universal-rules/examples/generic-placeholder-repo/.opencode/skills/verify-change/SKILL.md,packages/ai-universal-rules/examples/generic-placeholder-repo/AGENTS.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/bug-regression/CAPABILITY.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/bug-regression/checklist.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/bug-regression/examples.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/bug-regression/gotchas.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/dependency-upgrade/CAPABILITY.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/dependency-upgrade/checklist.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/dependency-upgrade/examples.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/dependency-upgrade/gotchas.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/project-context/CAPABILITY.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/project-context/examples.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/project-context/gotchas.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/release-safety/CAPABILITY.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/release-safety/checklist.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/release-safety/examples.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/release-safety/gotchas.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/review-diff/CAPABILITY.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/review-diff/checklist.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/review-diff/examples.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/review-diff/gotchas.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/verify-change/CAPABILITY.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/verify-change/checklist.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/verify-change/examples.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/capabilities/verify-change/gotchas.md,packages/ai-universal-rules/examples/generic-placeholder-repo/docs/ai/project-context.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/agents/implementer.agent.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/agents/release-auditor.agent.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/agents/researcher.agent.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/agents/reviewer.agent.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/copilot-instructions.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/instructions/architecture.instructions.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/instructions/testing.instructions.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/prompts/docs-sync.prompt.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/prompts/regression-test.prompt.md,packages/ai-universal-rules/examples/worked-copilot-repo/.github/prompts/release-readiness.prompt.md,packages/ai-universal-rules/examples/worked-copilot-repo/AGENTS.md,packages/ai-universal-rules/examples/worked-copilot-repo/README.md,packages/ai-universal-rules/examples/worked-copilot-repo/docs/ai/AI-GUARDRAILS.md,packages/ai-universal-rules/examples/worked-copilot-repo/docs/ai/project-context.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/agents/implementer.agent.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/agents/release-auditor.agent.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/agents/researcher.agent.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/agents/reviewer.agent.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/copilot-instructions.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/instructions/testing.instructions.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/prompts/docs-sync.prompt.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/prompts/regression-test.prompt.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.github/prompts/release-readiness.prompt.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.opencode/agents/implementer.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.opencode/agents/release-auditor.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.opencode/agents/researcher.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.opencode/agents/reviewer.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.opencode/commands/bug-regression.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/.opencode/commands/plan-slice.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/AGENTS.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/CLAUDE.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/README.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/docs/ai/AI-GUARDRAILS.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/docs/ai/capabilities/bug-regression/CAPABILITY.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/docs/ai/capabilities/project-context/CAPABILITY.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/docs/ai/capabilities/review-diff/CAPABILITY.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/docs/ai/capabilities/verify-change/CAPABILITY.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/docs/ai/project-context.md,packages/ai-universal-rules/examples/worked-dual-tool-repo/docs/ai/workflow.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/agents/implementer.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/agents/release-auditor.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/agents/researcher.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/agents/reviewer.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/commands/bug-regression.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/commands/plan-slice.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/skills/bug-regression/SKILL.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/skills/project-context/SKILL.md,packages/ai-universal-rules/examples/worked-opencode-repo/.opencode/skills/verify-change/SKILL.md,packages/ai-universal-rules/examples/worked-opencode-repo/AGENTS.md,packages/ai-universal-rules/examples/worked-opencode-repo/README.md,packages/ai-universal-rules/examples/worked-opencode-repo/docs/ai/AI-GUARDRAILS.md,packages/ai-universal-rules/examples/worked-opencode-repo/docs/ai/project-context.md,packages/ai-universal-rules/manifest.json,packages/ai-universal-rules/manifest.yml,packages/ai-universal-rules/templates/capabilities/README.md,packages/ai-universal-rules/templates/capabilities/bug-regression/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/bug-regression/checklist.md,packages/ai-universal-rules/templates/capabilities/bug-regression/config.example.json,packages/ai-universal-rules/templates/capabilities/bug-regression/examples.md,packages/ai-universal-rules/templates/capabilities/bug-regression/gotchas.md,packages/ai-universal-rules/templates/capabilities/bug-regression/reference.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/checklist.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/examples.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/gotchas.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/reference.md,packages/ai-universal-rules/templates/capabilities/project-context/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/project-context/examples.md,packages/ai-universal-rules/templates/capabilities/project-context/gotchas.md,packages/ai-universal-rules/templates/capabilities/project-context/reference.md,packages/ai-universal-rules/templates/capabilities/release-safety/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/release-safety/checklist.md,packages/ai-universal-rules/templates/capabilities/release-safety/examples.md,packages/ai-universal-rules/templates/capabilities/release-safety/gotchas.md,packages/ai-universal-rules/templates/capabilities/release-safety/reference.md,packages/ai-universal-rules/templates/capabilities/review-diff/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/review-diff/checklist.md,packages/ai-universal-rules/templates/capabilities/review-diff/examples.md,packages/ai-universal-rules/templates/capabilities/review-diff/gotchas.md,packages/ai-universal-rules/templates/capabilities/review-diff/reference.md,packages/ai-universal-rules/templates/capabilities/verify-change/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/verify-change/checklist.md,packages/ai-universal-rules/templates/capabilities/verify-change/examples.md,packages/ai-universal-rules/templates/capabilities/verify-change/gotchas.md,packages/ai-universal-rules/templates/capabilities/verify-change/reference.md,packages/ai-universal-rules/templates/core/AGENTS.template.md,packages/ai-universal-rules/templates/core/copilot-instructions.template.md,packages/ai-universal-rules/templates/core/project-context.template.md,packages/ai-universal-rules/templates/core/project-stack.template.md,packages/ai-universal-rules/templates/github-copilot/agents/architect.agent.md,packages/ai-universal-rules/templates/github-copilot/agents/implementer.agent.md,packages/ai-universal-rules/templates/github-copilot/agents/refactorer.agent.md,packages/ai-universal-rules/templates/github-copilot/agents/release-auditor.agent.md,packages/ai-universal-rules/templates/github-copilot/agents/researcher.agent.md,packages/ai-universal-rules/templates/github-copilot/agents/reviewer.agent.md,packages/ai-universal-rules/templates/github-copilot/instructions/architecture.instructions.md,packages/ai-universal-rules/templates/github-copilot/instructions/frontend.instructions.md,packages/ai-universal-rules/templates/github-copilot/instructions/targets.instructions.md,packages/ai-universal-rules/templates/github-copilot/instructions/testing.instructions.md,packages/ai-universal-rules/templates/github-copilot/prompts/bug-regression.prompt.md,packages/ai-universal-rules/templates/github-copilot/prompts/docs-sync.prompt.md,packages/ai-universal-rules/templates/github-copilot/prompts/new-feature.prompt.md,packages/ai-universal-rules/templates/github-copilot/prompts/regression-test.prompt.md,packages/ai-universal-rules/templates/github-copilot/prompts/release-readiness.prompt.md,packages/ai-universal-rules/templates/github-copilot/prompts/review-code.prompt.md,packages/ai-universal-rules/templates/opencode/agents/architect.md,packages/ai-universal-rules/templates/opencode/agents/implementer.md,packages/ai-universal-rules/templates/opencode/agents/refactorer.md,packages/ai-universal-rules/templates/opencode/agents/release-auditor.md,packages/ai-universal-rules/templates/opencode/agents/researcher.md,packages/ai-universal-rules/templates/opencode/agents/reviewer.md,packages/ai-universal-rules/templates/opencode/commands/bug-regression.md,packages/ai-universal-rules/templates/opencode/commands/plan-slice.md,packages/ai-universal-rules/templates/opencode/commands/review-diff.md,packages/ai-universal-rules/templates/opencode/commands/verify.md,packages/ai-universal-rules/templates/opencode/skills/bug-regression/SKILL.md,packages/ai-universal-rules/templates/opencode/skills/dependency-upgrade/SKILL.md,packages/ai-universal-rules/templates/opencode/skills/project-context/SKILL.md,packages/ai-universal-rules/templates/opencode/skills/project-stack/SKILL.md,packages/ai-universal-rules/templates/opencode/skills/release-safety/SKILL.md,packages/ai-universal-rules/templates/opencode/skills/review-diff/SKILL.md,packages/ai-universal-rules/templates/opencode/skills/verify-change/SKILL.md,packages/ai-universal-rules/templates/optional/delivery/README.md,packages/ai-universal-rules/templates/optional/delivery/slice-card.template.md,packages/ai-universal-rules/templates/optional/github-copilot/prompts/architecture-plan.prompt.md,packages/ai-universal-rules/templates/optional/github-copilot/prompts/dependency-upgrade.prompt.md,packages/ai-universal-rules/templates/optional/github-copilot/prompts/docs-sync.prompt.md,packages/ai-universal-rules/templates/optional/opencode/agents/bugfix.md,packages/ai-universal-rules/templates/optional/opencode/agents/build-config.md,packages/ai-universal-rules/templates/optional/opencode/agents/docs.md,packages/ai-universal-rules/templates/optional/opencode/agents/infra-auditor.md,packages/ai-universal-rules/templates/optional/opencode/agents/ui-builder.md,packages/ai-universal-rules/templates/optional/opencode/agents/upgrade.md,packages/ai-universal-rules/templates/shared/approvals/APPROVAL-PACKET.template.md,packages/ai-universal-rules/templates/shared/guardrails/AI-GUARDRAILS.md,packages/ai-universal-rules/templates/shared/verification/VERIFICATION-EVIDENCE.template.md,packages/ai-universal-rules/templates/snippets/approvals.snippet.md,packages/ai-universal-rules/templates/snippets/verification.snippet.md,packages/ai-universal-rules/templates/snippets/workflow.snippet.md"
policies,2,"Governance policy instances consumed by script-level policy enforcement.","Maintainers defining allow, deny, and confirmation command behavior.",docs/ai/copilot-tooling.md,none,policies/copilot/policy.yaml,"Policy instances live here; schema contracts live in .schemas.",117,101,10,6,0,5824,"policies/README.md,policies/copilot/policy.yaml"
reference,58,"Non-runtime reference and learning material, including PHP examples and scaffolds.","Humans and AI agents needing local language and pattern references.",reference/README.md,none,reference/php/README.md,"Reference corpus is not runtime-critical unless explicitly used by a tool or test.",1327,757,344,226,9,39451,"reference/README.md,reference/php/README.md,reference/php/create-design-patterns-structure.sh,reference/php/design-patterns/README.md,reference/php/design-patterns/behavioral/chain-of-responsibility/README.md,reference/php/design-patterns/behavioral/chain-of-responsibility/diagram.png,reference/php/design-patterns/behavioral/command/README.md,reference/php/design-patterns/behavioral/command/diagram.png,reference/php/design-patterns/behavioral/delegation/README.md,reference/php/design-patterns/behavioral/delegation/diagram.png,reference/php/design-patterns/behavioral/delegation/example-real-world/delegation.php,reference/php/design-patterns/behavioral/iterator/README.md,reference/php/design-patterns/behavioral/iterator/diagram.png,reference/php/design-patterns/behavioral/mediator/README.md,reference/php/design-patterns/behavioral/mediator/diagram.png,reference/php/design-patterns/behavioral/memento/README.md,reference/php/design-patterns/behavioral/memento/diagram.png,reference/php/design-patterns/behavioral/observer/README.md,reference/php/design-patterns/behavioral/observer/diagram.png,reference/php/design-patterns/behavioral/state/README.md,reference/php/design-patterns/behavioral/state/diagram.png,reference/php/design-patterns/behavioral/strategy/README.md,reference/php/design-patterns/behavioral/strategy/diagram.png,reference/php/design-patterns/behavioral/strategy/example-real-world/strategy-1.php,reference/php/design-patterns/behavioral/strategy/example-real-world/strategy-2.php,reference/php/design-patterns/behavioral/template-method/README.md,reference/php/design-patterns/behavioral/template-method/diagram.png,reference/php/design-patterns/behavioral/visitor/README.md,reference/php/design-patterns/behavioral/visitor/diagram.png,reference/php/design-patterns/creational/abstract-factory/README.md,reference/php/design-patterns/creational/abstract-factory/diagram.png,reference/php/design-patterns/creational/builder/README.md,reference/php/design-patterns/creational/builder/diagram.png,reference/php/design-patterns/creational/factory-method/README.md,reference/php/design-patterns/creational/factory-method/diagram.png,reference/php/design-patterns/creational/prototype/README.md,reference/php/design-patterns/creational/prototype/diagram.png,reference/php/design-patterns/creational/singleton/README.md,reference/php/design-patterns/creational/singleton/diagram.png,reference/php/design-patterns/creational/singleton/example-thread-safe/singleton.php,reference/php/design-patterns/structural/adapter/README.md,reference/php/design-patterns/structural/adapter/diagram.png,reference/php/design-patterns/structural/bridge/README.md,reference/php/design-patterns/structural/bridge/diagram.png,reference/php/design-patterns/structural/composite/README.md,reference/php/design-patterns/structural/composite/diagram.png,reference/php/design-patterns/structural/composite/example-basic/composite.php,reference/php/design-patterns/structural/decorator/README.md,reference/php/design-patterns/structural/decorator/diagram.png,reference/php/design-patterns/structural/facade/README.md,reference/php/design-patterns/structural/facade/diagram.png,reference/php/design-patterns/structural/flyweight/README.md,reference/php/design-patterns/structural/flyweight/diagram.png,reference/php/design-patterns/structural/proxy/README.md,reference/php/design-patterns/structural/proxy/diagram.png,reference/php/design-principles/Composition.php,reference/php/design-principles/SOLID.php,reference/php/php-built-ins/using-arrays.php"
